time,open,high,low,close,LOC,EMA,EMA Direction (debug),LOC Direction (debug),Bias Direction (debug),Entry Arrow Long,Entry Arrow Short,Invalidated (Long side),Invalidated (Short side)
1767628800,94465,94615,94080,94195,93595,,1,1,1,0,0,0,0
1767632400,94215,94965,93680,94855,93595,,1,1,1,0,0,0,0
1767636000,94870,95020,94350,94935,94420,93579.88244773675,1,1,1,0,0,0,0
1767639600,94940,94995,94560,94755,94420,,1,1,1,0,0,0,0
1767643200,94750,95270,94455,94635,94420,,1,1,1,0,0,0,0
1767646800,94635,94680,94250,94585,94420,93914.9216318245,1,1,1,0,0,0,0
1767654000,94660,94690,94290,94320,94420,,1,1,1,0,0,0,0
1767657600,94305,94430,93940,94235,94420,,1,1,1,0,0,0,0
1767661200,94210,94610,94175,94225,94235,,1,-1,0,0,0,0,0
1767664800,94215,94340,93915,94005,94235,93944.94775454966,1,-1,0,0,0,0,0
1767668400,94010,94385,93990,94175,94140,,1,-1,0,0,0,0,0
1767672000,94170,94425,94140,94180,94140,,1,-1,0,0,0,0,0
1767675600,94175,94210,93960,94000,94140,,1,-1,0,0,0,0,0
1767679200,93980,94360,93905,94220,94160,94036.63183636645,1,-1,0,0,0,0,0
1767682800,94175,94175,93475,93580,94180,,-1,1,0,0,0,0,0
1767686400,93580,93765,93495,93535,93775,,-1,-1,-1,0,0,0,0
1767690000,93555,93995,93545,93840,93775,,-1,-1,-1,0,0,0,0
1767693600,93855,94090,93775,94000,93760,94024.4212242443,-1,1,0,0,0,0,0
1767697200,94015,94330,93990,94280,93760,,1,1,1,0,0,0,0
1767700800,94290,94435,94215,94310,94180,,1,1,1,0,0,0,0
1767704400,94310,94315,94020,94110,94180,,1,1,1,0,0,0,0
1767708000,94125,94890,93865,94190,94205,94079.6141494962,1,-1,0,0,0,0,0
1767711600,94180,94740,93645,94025,94205,,1,-1,0,0,0,0,0
1767715200,94010,94160,92565,92950,94205,,-1,-1,-1,0,0,0,0
1767718800,92935,93075,91765,91800,93075,,-1,-1,-1,0,0,0,0
1767722400,91770,92490,91480,92255,92400,93471.40943299748,-1,-1,-1,0,0,0,0
1767726000,92275,92575,92110,92345,92400,,-1,-1,-1,0,0,0,0
1767729600,92345,93000,92345,92800,92400,,-1,-1,-1,0,0,0,0
1767733200,92785,94175,92635,93620,92725,93520.93962199832,1,1,1,0,0,0,0
1767740400,93640,94195,93640,94135,93450,,1,1,1,0,0,0,0
1767744000,94130,94130,92900,92975,93450,,-1,1,0,0,0,0,0
1767747600,92995,93175,92560,92720,93175,,-1,-1,-1,0,1,0,0
1767751200,92680,93355,92490,93250,92880,93430.62641466554,-1,-1,-1,0,0,0,0
1767754800,93280,93440,93050,93115,93215,,-1,1,0,0,0,0,0
1767758400,93130,93245,92855,92960,93215,,-1,1,0,0,0,0,0
1767762000,92950,93180,92755,92810,93215,,-1,1,0,0,0,0,0
1767765600,92810,93180,92800,92885,93215,93248.75094311037,-1,1,0,0,0,0,0
1767769200,92900,93210,92900,93155,93215,,-1,1,0,0,0,0,0
1767772800,93110,93285,92910,92930,93215,,-1,1,0,0,0,0,0
1767776400,92945,92945,91780,91870,92945,,-1,-1,-1,0,0,0,0
1767780000,91860,92165,91745,92135,92035,92877.50062874025,-1,-1,-1,0,0,0,0
1767783600,92110,92460,92090,92265,92090,,-1,1,0,0,0,0,0
1767787200,92275,92375,92150,92180,92265,,-1,1,0,0,0,0,0
1767790800,92190,92500,92035,92215,92265,,-1,1,0,0,0,0,0
1767794400,92220,92370,91510,92150,92265,92635.00041916016,-1,1,0,0,0,0,0
1767798000,92180,92195,91145,91510,92265,,-1,1,0,0,0,0,0
1767801600,91495,92025,91310,91425,92265,,-1,1,0,0,0,0,0
1767805200,91455,91920,91190,91430,92265,,-1,1,0,0,0,0,0
1767808800,91430,91675,90945,91135,92265,92135.00027944011,-1,1,0,0,0,0,0
1767812400,91110,91530,90865,91400,92265,,-1,1,0,0,0,0,0
1767816000,91400,91540,90995,91230,92265,,-1,1,0,0,0,0,0
1767819600,91220,91460,91205,91320,92265,91863.33351962674,-1,1,0,0,0,0,0
1767826800,91440,91695,91180,91545,92265,,-1,1,0,0,0,0,0
1767830400,91490,91720,91265,91580,92265,,-1,1,0,0,0,0,0
1767834000,91605,91845,91465,91620,92265,,-1,1,0,0,0,0,0
1767837600,91600,91680,90850,91105,92265,91610.55567975117,-1,1,0,0,0,0,0
1767841200,91095,91235,90725,90940,91325,,-1,-1,-1,0,0,0,0
1767844800,90895,91320,90825,91200,91325,,-1,-1,-1,0,0,0,0
1767848400,91200,91360,90930,91000,91325,,-1,-1,-1,0,0,0,0
1767852000,91020,91055,89980,89995,91055,91072.03711983412,-1,-1,-1,0,0,0,0
1767855600,89985,90750,89735,90700,90525,,-1,-1,-1,0,0,0,0
1767859200,90715,90945,90300,90405,90605,,-1,1,0,0,0,0,0
1767862800,90400,90545,90090,90125,90545,,-1,-1,-1,0,1,0,0
1767866400,90075,90630,89890,90530,90545,90891.35807988941,-1,-1,-1,0,0,0,1
1767870000,90550,90610,90140,90385,90545,,-1,-1,-1,0,0,0,0
1767873600,90370,90385,89910,90140,90545,,-1,-1,-1,0,0,0,0
1767877200,90135,90290,90025,90125,90545,,-1,-1,-1,0,0,0,0
1767880800,90090,90320,89415,90140,90545,90640.90538659295,-1,-1,-1,0,0,0,0
